"Row_ID","Order_ID","Order_Date","Ship_Date","Customer_Name","City","Ship_Mode","Customer_ID","Country","Segment","Sales","State","Postal_Code","Region","Product_ID","Category","Sub_Category","Product_Name"
"20","CA-2015-143336","27/08/2015","1/9/2015","Zuschuss Donatelli","San Francisco","Second Class","ZD-21925","United States","Consumer","213.48","California","94109","West","TEC-PH-10001949","Technology","Phones","Cisco SPA 501G IP Phone"
"21","CA-2015-143336","27/08/2015","1/9/2015","Zuschuss Donatelli","San Francisco","Second Class","ZD-21925","United States","Consumer","22.72","California","94109","West","OFF-BI-10002215","Office Supplies","Binders","Wilson Jones Hanging View Binder, White, 1"
"22","CA-2017-137330","9/12/2017","13/12/2017","Ken Black","Fremont","Standard Class","KB-16585","United States","Corporate","19.46","Nebraska","68025","Central","OFF-AR-10000246","Office Supplies","Art","Newell 318"
"23","CA-2017-137330","9/12/2017","13/12/2017","Ken Black","Fremont","Standard Class","KB-16585","United States","Corporate","60.34","Nebraska","68025","Central","OFF-AP-10001492","Office Supplies","Appliances","Acco Six-Outlet Power Strip, 4 Cord Length"
"24","US-2018-156909","16/07/2018","18/07/2018","Sandra Flanagan","Philadelphia","Second Class","SF-20065","United States","Consumer","71.372","Pennsylvania","19140","East","FUR-CH-10002774","Furniture","Chairs","Global Deluxe Stacking Chair, Gray"
"25","CA-2016-106320","25/09/2016","30/09/2016","Emily Burns","Orem","Standard Class","EB-13870","United States","Consumer","1044.63","Utah","84057","West","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table"
"26","CA-2017-121755","16/01/2017","20/01/2017","Eric Hoffmann","Los Angeles","Second Class","EH-13945","United States","Consumer","11.648","California","90049","West","OFF-BI-10001634","Office Supplies","Binders","Wilson Jones Active Use Binders"
"27","CA-2017-121755","16/01/2017","20/01/2017","Eric Hoffmann","Los Angeles","Second Class","EH-13945","United States","Consumer","90.57","California","90049","West","TEC-AC-10003027","Technology","Accessories","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive"
"28","US-2016-150630","17/09/2016","21/09/2016","Tracy Blumstein","Philadelphia","Standard Class","TB-21520","United States","Consumer","3083.43","Pennsylvania","19140","East","FUR-BO-10004834","Furniture","Bookcases","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
"29","US-2016-150630","17/09/2016","21/09/2016","Tracy Blumstein","Philadelphia","Standard Class","TB-21520","United States","Consumer","9.618","Pennsylvania","19140","East","OFF-BI-10000474","Office Supplies","Binders","Avery Recycled Flexi-View Covers for Binding Systems"
"30","US-2016-150630","17/09/2016","21/09/2016","Tracy Blumstein","Philadelphia","Standard Class","TB-21520","United States","Consumer","124.2","Pennsylvania","19140","East","FUR-FU-10004848","Furniture","Furnishings","Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock"
"31","US-2016-150630","17/09/2016","21/09/2016","Tracy Blumstein","Philadelphia","Standard Class","TB-21520","United States","Consumer","3.264","Pennsylvania","19140","East","OFF-EN-10001509","Office Supplies","Envelopes","Poly String Tie Envelopes"
"32","US-2016-150630","17/09/2016","21/09/2016","Tracy Blumstein","Philadelphia","Standard Class","TB-21520","United States","Consumer","86.304","Pennsylvania","19140","East","OFF-AR-10004042","Office Supplies","Art","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
"33","US-2016-150630","17/09/2016","21/09/2016","Tracy Blumstein","Philadelphia","Standard Class","TB-21520","United States","Consumer","6.858","Pennsylvania","19140","East","OFF-BI-10001525","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11, Executive Red"
"34","US-2016-150630","17/09/2016","21/09/2016","Tracy Blumstein","Philadelphia","Standard Class","TB-21520","United States","Consumer","15.76","Pennsylvania","19140","East","OFF-AR-10001683","Office Supplies","Art","Lumber Crayons"
"35","CA-2018-107727","19/10/2018","23/10/2018","Matt Abelman","Houston","Second Class","MA-17560","United States","Home Office","29.472","Texas","77095","Central","OFF-PA-10000249","Office Supplies","Paper","Easy-staple paper"
"36","CA-2017-117590","8/12/2017","10/12/2017","Gene Hale","Richardson","First Class","GH-14485","United States","Corporate","1097.544","Texas","75080","Central","TEC-PH-10004977","Technology","Phones","GE 30524EE4"
"37","CA-2017-117590","8/12/2017","10/12/2017","Gene Hale","Richardson","First Class","GH-14485","United States","Corporate","190.92","Texas","75080","Central","FUR-FU-10003664","Furniture","Furnishings","Electrix Architects Clamp-On Swing Arm Lamp, Black"
"38","CA-2016-117415","27/12/2016","31/12/2016","Steve Nguyen","Houston","Standard Class","SN-20710","United States","Home Office","113.328","Texas","77041","Central","OFF-EN-10002986","Office Supplies","Envelopes","#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes"
"39","CA-2016-117415","27/12/2016","31/12/2016","Steve Nguyen","Houston","Standard Class","SN-20710","United States","Home Office","532.3992","Texas","77041","Central","FUR-BO-10002545","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
"40","CA-2016-117415","27/12/2016","31/12/2016","Steve Nguyen","Houston","Standard Class","SN-20710","United States","Home Office","212.058","Texas","77041","Central","FUR-CH-10004218","Furniture","Chairs","Global Fabric Managers Chair, Dark Gray"
"41","CA-2016-117415","27/12/2016","31/12/2016","Steve Nguyen","Houston","Standard Class","SN-20710","United States","Home Office","371.168","Texas","77041","Central","TEC-PH-10000486","Technology","Phones","Plantronics HL10 Handset Lifter"
"42","CA-2018-120999","10/9/2018","15/09/2018","Linda Cazamias","Naperville","Standard Class","LC-16930","United States","Corporate","147.168","Illinois","60540","Central","TEC-PH-10004093","Technology","Phones","Panasonic Kx-TS550"
"43","CA-2017-101343","17/07/2017","22/07/2017","Ruben Ausman","Los Angeles","Standard Class","RA-19885","United States","Corporate","77.88","California","90049","West","OFF-ST-10003479","Office Supplies","Storage","Eldon Base for stackable storage shelf, platinum"
"44","CA-2018-139619","19/09/2018","23/09/2018","Erin Smith","Melbourne","Standard Class","ES-14080","United States","Corporate","95.616","Florida","32935","South","OFF-ST-10003282","Office Supplies","Storage","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
"45","CA-2017-118255","11/3/2017","13/03/2017","Odella Nelson","Eagan","First Class","ON-18715","United States","Corporate","45.98","Minnesota","55122","Central","TEC-AC-10000171","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
"46","CA-2017-118255","11/3/2017","13/03/2017","Odella Nelson","Eagan","First Class","ON-18715","United States","Corporate","17.46","Minnesota","55122","Central","OFF-BI-10003291","Office Supplies","Binders","Wilson Jones Leather-Like Binders with DublLock Round Rings"
"47","CA-2015-146703","20/10/2015","25/10/2015","Patrick O Donnel","Westland","Second Class","PO-18865","United States","Consumer","211.96","Michigan","48185","Central","OFF-ST-10001713","Office Supplies","Storage","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
"48","CA-2017-169194","20/06/2017","25/06/2017","Lena Hernandez","Dover","Standard Class","LH-16900","United States","Consumer","45","Delaware","19901","East","TEC-AC-10002167","Technology","Accessories","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive"
"49","CA-2017-169194","20/06/2017","25/06/2017","Lena Hernandez","Dover","Standard Class","LH-16900","United States","Consumer","21.8","Delaware","19901","East","TEC-PH-10003988","Technology","Phones","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
"50","CA-2016-115742","18/04/2016","22/04/2016","Darren Powers","New Albany","Standard Class","DP-13000","United States","Consumer","38.22","Indiana","47150","Central","OFF-BI-10004410","Office Supplies","Binders","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
"51","CA-2016-115742","18/04/2016","22/04/2016","Darren Powers","New Albany","Standard Class","DP-13000","United States","Consumer","75.18","Indiana","47150","Central","OFF-LA-10002762","Office Supplies","Labels","Avery 485"
"52","CA-2016-115742","18/04/2016","22/04/2016","Darren Powers","New Albany","Standard Class","DP-13000","United States","Consumer","6.16","Indiana","47150","Central","FUR-FU-10001706","Furniture","Furnishings","Longer-Life Soft White Bulbs"
"53","CA-2016-115742","18/04/2016","22/04/2016","Darren Powers","New Albany","Standard Class","DP-13000","United States","Consumer","89.99","Indiana","47150","Central","FUR-CH-10003061","Furniture","Chairs","Global Leather Task Chair, Black"
"54","CA-2017-105816","11/12/2017","17/12/2017","Janet Molinari","New York City","Standard Class","JM-15265","United States","Corporate","15.26","New York","10024","East","OFF-FA-10000304","Office Supplies","Fasteners","Advantus Push Pins"
"55","CA-2017-105816","11/12/2017","17/12/2017","Janet Molinari","New York City","Standard Class","JM-15265","United States","Corporate","1029.95","New York","10024","East","TEC-PH-10002447","Technology","Phones","AT&T CL83451 4-Handset Telephone"
"56","CA-2017-111682","17/06/2017","18/06/2017","Ted Butterfield","Troy","First Class","TB-21055","United States","Consumer","208.56","New York","12180","East","OFF-ST-10000604","Office Supplies","Storage","Home/Office Personal File Carts"
"57","CA-2017-111682","17/06/2017","18/06/2017","Ted Butterfield","Troy","First Class","TB-21055","United States","Consumer","32.4","New York","12180","East","OFF-PA-10001569","Office Supplies","Paper","Xerox 232"
"58","CA-2017-111682","17/06/2017","18/06/2017","Ted Butterfield","Troy","First Class","TB-21055","United States","Consumer","319.41","New York","12180","East","FUR-CH-10003968","Furniture","Chairs","Novimex Turbo Task Chair"
"59","CA-2017-111682","17/06/2017","18/06/2017","Ted Butterfield","Troy","First Class","TB-21055","United States","Consumer","14.56","New York","12180","East","OFF-PA-10000587","Office Supplies","Paper","Array Parchment Paper, Assorted Colors"
"60","CA-2017-111682","17/06/2017","18/06/2017","Ted Butterfield","Troy","First Class","TB-21055","United States","Consumer","30","New York","12180","East","TEC-AC-10002167","Technology","Accessories","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive"
"61","CA-2017-111682","17/06/2017","18/06/2017","Ted Butterfield","Troy","First Class","TB-21055","United States","Consumer","48.48","New York","12180","East","OFF-BI-10001460","Office Supplies","Binders","Plastic Binding Combs"
"62","CA-2017-111682","17/06/2017","18/06/2017","Ted Butterfield","Troy","First Class","TB-21055","United States","Consumer","1.68","New York","12180","East","OFF-AR-10001868","Office Supplies","Art","Prang Dustless Chalk Sticks"
"63","CA-2016-135545","24/11/2016","30/11/2016","Kunst Miller","Los Angeles","Standard Class","KM-16720","United States","Consumer","13.98","California","90004","West","TEC-AC-10004633","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
"64","CA-2016-135545","24/11/2016","30/11/2016","Kunst Miller","Los Angeles","Standard Class","KM-16720","United States","Consumer","25.824","California","90004","West","OFF-BI-10001078","Office Supplies","Binders","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8 X 11"
"65","CA-2016-135545","24/11/2016","30/11/2016","Kunst Miller","Los Angeles","Standard Class","KM-16720","United States","Consumer","146.73","California","90004","West","OFF-PA-10003892","Office Supplies","Paper","Xerox 1943"
"66","CA-2016-135545","24/11/2016","30/11/2016","Kunst Miller","Los Angeles","Standard Class","KM-16720","United States","Consumer","79.76","California","90004","West","FUR-FU-10000397","Furniture","Furnishings","Luxo Economy Swing Arm Lamp"
"67","US-2016-164175","30/04/2016","5/5/2016","Paul Stevenson","Chicago","Standard Class","PS-18970","United States","Home Office","213.115","Illinois","60610","Central","FUR-CH-10001146","Furniture","Chairs","Global Value Mid-Back Managers Chair, Gray"
"68","CA-2015-106376","5/12/2015","10/12/2015","Brendan Sweed","Gilbert","Standard Class","BS-11590","United States","Corporate","1113.024","Arizona","85234","West","OFF-AR-10002671","Office Supplies","Art","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
"69","CA-2015-106376","5/12/2015","10/12/2015","Brendan Sweed","Gilbert","Standard Class","BS-11590","United States","Corporate","167.968","Arizona","85234","West","TEC-PH-10002726","Technology","Phones","netTALK DUO VoIP Telephone Service"
"70","CA-2017-119823","4/6/2017","6/6/2017","Karen Daniels","Springfield","First Class","KD-16270","United States","Consumer","75.88","Virginia","22153","South","OFF-PA-10000482","Office Supplies","Paper","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
"71","CA-2017-106075","18/09/2017","23/09/2017","Henry MacAllister","New York City","Standard Class","HM-14980","United States","Consumer","4.616","New York","10009","East","OFF-BI-10004654","Office Supplies","Binders","Avery Binding System Hidden Tab Executive Style Index Sets"
"72","CA-2018-114440","14/09/2018","17/09/2018","Tracy Blumstein","Jackson","Second Class","TB-21520","United States","Consumer","19.05","Michigan","49201","Central","OFF-PA-10004675","Office Supplies","Paper","Telephone Message Books with Fax/Mobile Section, 5 1/2 x 3 3/16"
"73","US-2016-134026","26/04/2016","2/5/2016","Joel Eaton","Memphis","Standard Class","JE-15745","United States","Consumer","831.936","Tennessee","38109","South","FUR-CH-10000513","Furniture","Chairs","High-Back Leather Managers Chair"
"74","US-2016-134026","26/04/2016","2/5/2016","Joel Eaton","Memphis","Standard Class","JE-15745","United States","Consumer","97.04","Tennessee","38109","South","FUR-FU-10003708","Furniture","Furnishings","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36 x 48"
"75","US-2016-134026","26/04/2016","2/5/2016","Joel Eaton","Memphis","Standard Class","JE-15745","United States","Consumer","72.784","Tennessee","38109","South","OFF-ST-10004123","Office Supplies","Storage","Safco Industrial Wire Shelving System"
"76","US-2018-118038","9/12/2018","11/12/2018","Ken Brennan","Houston","First Class","KB-16600","United States","Corporate","1.248","Texas","77041","Central","OFF-BI-10004182","Office Supplies","Binders","Economy Binders"
"77","US-2018-118038","9/12/2018","11/12/2018","Ken Brennan","Houston","First Class","KB-16600","United States","Corporate","9.708","Texas","77041","Central","FUR-FU-10000260","Furniture","Furnishings","6 Cubicle Wall Clock, Black"
"78","US-2018-118038","9/12/2018","11/12/2018","Ken Brennan","Houston","First Class","KB-16600","United States","Corporate","27.24","Texas","77041","Central","OFF-ST-10000615","Office Supplies","Storage","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
"79","US-2015-147606","26/11/2015","1/12/2015","Joel Eaton","Houston","Second Class","JE-15745","United States","Consumer","19.3","Texas","77070","Central","FUR-FU-10003194","Furniture","Furnishings","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
"80","CA-2017-127208","12/6/2017","15/06/2017","Stewart Carmichael","Decatur","First Class","SC-20770","United States","Corporate","208.16","Alabama","35601","South","OFF-AP-10002118","Office Supplies","Appliances","1.7 Cubic Foot Compact Cube Office Refrigerators"
"81","CA-2017-127208","12/6/2017","15/06/2017","Stewart Carmichael","Decatur","First Class","SC-20770","United States","Corporate","16.74","Alabama","35601","South","OFF-BI-10002309","Office Supplies","Binders","Avery Heavy-Duty EZD  Binder With Locking Rings"
"82","CA-2015-139451","12/10/2015","16/10/2015","Duane Noonan","San Francisco","Standard Class","DN-13690","United States","Consumer","14.9","California","94122","West","OFF-AR-10002053","Office Supplies","Art","Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
"83","CA-2015-139451","12/10/2015","16/10/2015","Duane Noonan","San Francisco","Standard Class","DN-13690","United States","Consumer","21.39","California","94122","West","OFF-ST-10002370","Office Supplies","Storage","Sortfiler Multipurpose Personal File Organizer, Black"
"84","CA-2016-149734","3/9/2016","8/9/2016","Julie Creighton","Durham","Standard Class","JC-16105","United States","Corporate","200.984","North Carolina","27707","South","OFF-EN-10000927","Office Supplies","Envelopes","Jet-Pak Recycled Peel N Seal Padded Mailers"
"85","US-2018-119662","13/11/2018","16/11/2018","Christopher Schild","Chicago","First Class","CS-12400","United States","Home Office","230.376","Illinois","60623","Central","OFF-ST-10003656","Office Supplies","Storage","Safco Industrial Wire Shelving"
"86","CA-2018-140088","28/05/2018","30/05/2018","Patrick O Donnel","Columbia","Second Class","PO-18865","United States","Consumer","301.96","South Carolina","29203","South","FUR-CH-10000863","Furniture","Chairs","Novimex Swivel Fabric Task Chair"
"87","CA-2018-155558","26/10/2018","2/11/2018","Paul Gonzalez","Rochester","Standard Class","PG-18895","United States","Consumer","19.99","Minnesota","55901","Central","TEC-AC-10001998","Technology","Accessories","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired"
"88","CA-2018-155558","26/10/2018","2/11/2018","Paul Gonzalez","Rochester","Standard Class","PG-18895","United States","Consumer","6.16","Minnesota","55901","Central","OFF-LA-10000134","Office Supplies","Labels","Avery 511"
"89","CA-2017-159695","5/4/2017","10/4/2017","Gary Mitchum","Houston","Second Class","GM-14455","United States","Home Office","158.368","Texas","77095","Central","OFF-ST-10003442","Office Supplies","Storage","Eldon Portable Mobile Manager"
"90","CA-2017-109806","17/09/2017","22/09/2017","Jim Sink","Los Angeles","Standard Class","JS-15685","United States","Corporate","20.1","California","90036","West","OFF-AR-10004930","Office Supplies","Art","Turquoise Lead Holder with Pocket Clip"
"91","CA-2017-109806","17/09/2017","22/09/2017","Jim Sink","Los Angeles","Standard Class","JS-15685","United States","Corporate","73.584","California","90036","West","TEC-PH-10004093","Technology","Phones","Panasonic Kx-TS550"
"92","CA-2017-109806","17/09/2017","22/09/2017","Jim Sink","Los Angeles","Standard Class","JS-15685","United States","Corporate","6.48","California","90036","West","OFF-PA-10000304","Office Supplies","Paper","Xerox 1995"
"93","CA-2016-149587","31/01/2016","5/2/2016","Karl Braun","Minneapolis","Second Class","KB-16315","United States","Consumer","12.96","Minnesota","55407","Central","OFF-PA-10003177","Office Supplies","Paper","Xerox 1999"
"94","CA-2016-149587","31/01/2016","5/2/2016","Karl Braun","Minneapolis","Second Class","KB-16315","United States","Consumer","53.34","Minnesota","55407","Central","FUR-FU-10003799","Furniture","Furnishings","Seth Thomas 13 1/2 Wall Clock"
"95","CA-2016-149587","31/01/2016","5/2/2016","Karl Braun","Minneapolis","Second Class","KB-16315","United States","Consumer","32.96","Minnesota","55407","Central","OFF-BI-10002852","Office Supplies","Binders","Ibico Standard Transparent Covers"
"96","US-2018-109484","6/11/2018","12/11/2018","Roger Barcio","Portland","Standard Class","RB-19705","United States","Home Office","5.682","Oregon","97206","West","OFF-BI-10004738","Office Supplies","Binders","Flexible Leather- Look Classic Collection Ring Binder"
"97","CA-2018-161018","9/11/2018","11/11/2018","Parhena Norris","New York City","Second Class","PN-18775","United States","Home Office","96.53","New York","10009","East","FUR-FU-10000629","Furniture","Furnishings","9-3/4 Diameter Round Wall Clock"
"98","CA-2018-157833","17/06/2018","20/06/2018","Katherine Ducich","San Francisco","First Class","KD-16345","United States","Consumer","51.312","California","94122","West","OFF-BI-10001721","Office Supplies","Binders","Trimflex Flexible Post Binders"
"99","CA-2017-149223","6/9/2017","11/9/2017","Elpida Rittenbach","Saint Paul","Standard Class","ER-13855","United States","Corporate","77.88","Minnesota","55106","Central","OFF-AP-10000358","Office Supplies","Appliances","Fellowes Basic Home/Office Series Surge Protectors"
"100","CA-2017-158568","29/08/2017","2/9/2017","Rick Bensley","Chicago","Standard Class","RB-19465","United States","Home Office","64.624","Illinois","60610","Central","OFF-PA-10003256","Office Supplies","Paper","Avery Personal Creations Heavyweight Cards"
"101","CA-2017-158568","29/08/2017","2/9/2017","Rick Bensley","Chicago","Standard Class","RB-19465","United States","Home Office","95.976","Illinois","60610","Central","TEC-AC-10001767","Technology","Accessories","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card"
"102","CA-2017-158568","29/08/2017","2/9/2017","Rick Bensley","Chicago","Standard Class","RB-19465","United States","Home Office","1.788","Illinois","60610","Central","OFF-BI-10002609","Office Supplies","Binders","Avery Hidden Tab Dividers for Binding Systems"
"103","CA-2017-129903","1/12/2017","4/12/2017","Gary Zandusky","Rochester","Second Class","GZ-14470","United States","Consumer","23.92","Minnesota","55901","Central","OFF-PA-10004040","Office Supplies","Paper","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)"
"104","US-2016-156867","13/11/2016","17/11/2016","Lena Cacioppo","Aurora","Standard Class","LC-16870","United States","Consumer","238.896","Colorado","80013","West","TEC-AC-10001552","Technology","Accessories","Logitech K350 2.4Ghz Wireless Keyboard"
"105","US-2016-156867","13/11/2016","17/11/2016","Lena Cacioppo","Aurora","Standard Class","LC-16870","United States","Consumer","102.36","Colorado","80013","West","FUR-FU-10004006","Furniture","Furnishings","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
"106","US-2016-156867","13/11/2016","17/11/2016","Lena Cacioppo","Aurora","Standard Class","LC-16870","United States","Consumer","36.882","Colorado","80013","West","OFF-BI-10002794","Office Supplies","Binders","Avery Trapezoid Ring Binder, 3 Capacity, Black, 1040 sheets"
"107","CA-2018-119004","23/11/2018","28/11/2018","Janet Martin","Charlotte","Standard Class","JM-15250","United States","Consumer","74.112","North Carolina","28205","South","TEC-AC-10003499","Technology","Accessories","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive"
"108","CA-2018-119004","23/11/2018","28/11/2018","Janet Martin","Charlotte","Standard Class","JM-15250","United States","Consumer","27.992","North Carolina","28205","South","TEC-PH-10002844","Technology","Phones","Speck Products Candyshell Flip Case"
"109","CA-2018-119004","23/11/2018","28/11/2018","Janet Martin","Charlotte","Standard Class","JM-15250","United States","Consumer","3.304","North Carolina","28205","South","OFF-AR-10000390","Office Supplies","Art","Newell Chalk Holder"
"110","CA-2016-129476","15/10/2016","20/10/2016","Pete Armstrong","Orland Park","Standard Class","PA-19060","United States","Home Office","339.96","Illinois","60462","Central","TEC-AC-10000844","Technology","Accessories","Logitech Gaming G510s - Keyboard"
"111","CA-2018-146780","25/12/2018","30/12/2018","Cynthia Voltz","New York City","Standard Class","CV-12805","United States","Corporate","41.96","New York","10035","East","FUR-FU-10001934","Furniture","Furnishings","Magnifier Swing Arm Lamp"
"112","CA-2017-128867","3/11/2017","10/11/2017","Clay Ludtke","Urbandale","Standard Class","CL-12565","United States","Consumer","75.96","Iowa","50322","Central","OFF-AR-10000380","Office Supplies","Art","Hunt PowerHouse Electric Pencil Sharpener, Blue"
"113","CA-2017-128867","3/11/2017","10/11/2017","Clay Ludtke","Urbandale","Standard Class","CL-12565","United States","Consumer","27.24","Iowa","50322","Central","OFF-BI-10003981","Office Supplies","Binders","Avery Durable Plastic 1 Binders"
"114","CA-2015-115259","25/08/2015","27/08/2015","Ryan Crowe","Columbus","Second Class","RC-19960","United States","Consumer","40.096","Ohio","43229","East","OFF-FA-10000621","Office Supplies","Fasteners","OIC Colored Binder Clips, Assorted Sizes"
"115","CA-2015-115259","25/08/2015","27/08/2015","Ryan Crowe","Columbus","Second Class","RC-19960","United States","Consumer","4.72","Ohio","43229","East","OFF-EN-10002600","Office Supplies","Envelopes","Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
"116","CA-2015-115259","25/08/2015","27/08/2015","Ryan Crowe","Columbus","Second Class","RC-19960","United States","Consumer","23.976","Ohio","43229","East","OFF-PA-10004965","Office Supplies","Paper","Xerox 1921"
